clanfile,block_index,block_path,training,reliability
train_Block10_VanDam5,231,data_tree/train_Block10_VanDam5/231.zip,true,false
train_Block1_Bergelson,459,data_tree/train_Block1_Bergelson/459.zip,true,false
train_Block2_VanDam2,715,data_tree/train_Block2_VanDam2/715.zip,true,false
train_Block3_Bergelson,713,data_tree/train_Block3_Bergelson/713.zip,true,false
train_Block4_Warlaumont,151,data_tree/train_Block4_Warlaumont/151.zip,true,false
train_Block5_Warlaumont,320,data_tree/train_Block5_Warlaumont/320.zip,true,false
train_Block6_VanDam2,598,data_tree/train_Block6_VanDam2/598.zip,true,false
train_Block7_McDivitt,602,data_tree/train_Block7_McDivitt/602.zip,true,false
train_Block8_VanDam,891,data_tree/train_Block8_VanDam/891.zip,true,false
train_Block9_VanDam5,273,data_tree/train_Block9_VanDam5/273.zip,true,false
0001_000613s_reliability,1,data_tree/0001_000613s_reliability/1.zip,false,true
0001_000613s_reliability,10,data_tree/0001_000613s_reliability/10.zip,false,true
0001_000613s_reliability,21,data_tree/0001_000613s_reliability/21.zip,false,true
0001_000613s_reliability,24,data_tree/0001_000613s_reliability/24.zip,false,true
0001_000613s_reliability,26,data_tree/0001_000613s_reliability/26.zip,false,true
0001_000613s_reliability,27,data_tree/0001_000613s_reliability/27.zip,false,true
0001_000613s_reliability,34,data_tree/0001_000613s_reliability/34.zip,false,true
0001_000613s_reliability,37,data_tree/0001_000613s_reliability/37.zip,false,true
0001_000613s_reliability,46,data_tree/0001_000613s_reliability/46.zip,false,true
0001_000613s_reliability,8,data_tree/0001_000613s_reliability/8.zip,false,true
0007_000612s_reliability,101,data_tree/0007_000612s_reliability/101.zip,false,true
0007_000612s_reliability,105,data_tree/0007_000612s_reliability/105.zip,false,true
0007_000612s_reliability,12,data_tree/0007_000612s_reliability/12.zip,false,true
0007_000612s_reliability,30,data_tree/0007_000612s_reliability/30.zip,false,true
0007_000612s_reliability,45,data_tree/0007_000612s_reliability/45.zip,false,true
0007_000612s_reliability,50,data_tree/0007_000612s_reliability/50.zip,false,true
0007_000612s_reliability,72,data_tree/0007_000612s_reliability/72.zip,false,true
0007_000612s_reliability,89,data_tree/0007_000612s_reliability/89.zip,false,true
0007_000612s_reliability,92,data_tree/0007_000612s_reliability/92.zip,false,true
0007_000612s_reliability,94,data_tree/0007_000612s_reliability/94.zip,false,true
0015_000607s_reliability,13,data_tree/0015_000607s_reliability/13.zip,false,true
0015_000607s_reliability,15,data_tree/0015_000607s_reliability/15.zip,false,true
0015_000607s_reliability,24,data_tree/0015_000607s_reliability/24.zip,false,true
0015_000607s_reliability,25,data_tree/0015_000607s_reliability/25.zip,false,true
0015_000607s_reliability,28,data_tree/0015_000607s_reliability/28.zip,false,true
0015_000607s_reliability,29,data_tree/0015_000607s_reliability/29.zip,false,true
0015_000607s_reliability,35,data_tree/0015_000607s_reliability/35.zip,false,true
0015_000607s_reliability,39,data_tree/0015_000607s_reliability/39.zip,false,true
0015_000607s_reliability,66,data_tree/0015_000607s_reliability/66.zip,false,true
0015_000607s_reliability,75,data_tree/0015_000607s_reliability/75.zip,false,true
0032_000604s_reliability,13,data_tree/0032_000604s_reliability/13.zip,false,true
0032_000604s_reliability,19,data_tree/0032_000604s_reliability/19.zip,false,true
0032_000604s_reliability,23,data_tree/0032_000604s_reliability/23.zip,false,true
0032_000604s_reliability,29,data_tree/0032_000604s_reliability/29.zip,false,true
0032_000604s_reliability,32,data_tree/0032_000604s_reliability/32.zip,false,true
0032_000604s_reliability,36,data_tree/0032_000604s_reliability/36.zip,false,true
0032_000604s_reliability,37,data_tree/0032_000604s_reliability/37.zip,false,true
0032_000604s_reliability,39,data_tree/0032_000604s_reliability/39.zip,false,true
0032_000604s_reliability,42,data_tree/0032_000604s_reliability/42.zip,false,true
0032_000604s_reliability,50,data_tree/0032_000604s_reliability/50.zip,false,true
0204_000314_reliability,1,data_tree/0204_000314_reliability/1.zip,false,true
0204_000314_reliability,11,data_tree/0204_000314_reliability/11.zip,false,true
0204_000314_reliability,18,data_tree/0204_000314_reliability/18.zip,false,true
0204_000314_reliability,19,data_tree/0204_000314_reliability/19.zip,false,true
0204_000314_reliability,21,data_tree/0204_000314_reliability/21.zip,false,true
0204_000314_reliability,24,data_tree/0204_000314_reliability/24.zip,false,true
0204_000314_reliability,25,data_tree/0204_000314_reliability/25.zip,false,true
0204_000314_reliability,28,data_tree/0204_000314_reliability/28.zip,false,true
0204_000314_reliability,4,data_tree/0204_000314_reliability/4.zip,false,true
0204_000314_reliability,9,data_tree/0204_000314_reliability/9.zip,false,true
0274_000221_reliability,12,data_tree/0274_000221_reliability/12.zip,false,true
0274_000221_reliability,13,data_tree/0274_000221_reliability/13.zip,false,true
0274_000221_reliability,18,data_tree/0274_000221_reliability/18.zip,false,true
0274_000221_reliability,33,data_tree/0274_000221_reliability/33.zip,false,true
0274_000221_reliability,34,data_tree/0274_000221_reliability/34.zip,false,true
0274_000221_reliability,39,data_tree/0274_000221_reliability/39.zip,false,true
0274_000221_reliability,41,data_tree/0274_000221_reliability/41.zip,false,true
0274_000221_reliability,42,data_tree/0274_000221_reliability/42.zip,false,true
0274_000221_reliability,5,data_tree/0274_000221_reliability/5.zip,false,true
0274_000221_reliability,51,data_tree/0274_000221_reliability/51.zip,false,true
101_001125_reliability,1024,data_tree/101_001125_reliability/1024.zip,false,true
101_001125_reliability,1147,data_tree/101_001125_reliability/1147.zip,false,true
101_001125_reliability,399,data_tree/101_001125_reliability/399.zip,false,true
101_001125_reliability,575,data_tree/101_001125_reliability/575.zip,false,true
101_001125_reliability,690,data_tree/101_001125_reliability/690.zip,false,true
101_001125_reliability,729,data_tree/101_001125_reliability/729.zip,false,true
101_001125_reliability,730,data_tree/101_001125_reliability/730.zip,false,true
101_001125_reliability,735,data_tree/101_001125_reliability/735.zip,false,true
101_001125_reliability,839,data_tree/101_001125_reliability/839.zip,false,true
101_001125_reliability,857,data_tree/101_001125_reliability/857.zip,false,true
103_010824_reliability,319,data_tree/103_010824_reliability/319.zip,false,true
103_010824_reliability,342,data_tree/103_010824_reliability/342.zip,false,true
103_010824_reliability,366,data_tree/103_010824_reliability/366.zip,false,true
103_010824_reliability,37,data_tree/103_010824_reliability/37.zip,false,true
103_010824_reliability,383,data_tree/103_010824_reliability/383.zip,false,true
103_010824_reliability,395,data_tree/103_010824_reliability/395.zip,false,true
103_010824_reliability,403,data_tree/103_010824_reliability/403.zip,false,true
103_010824_reliability,408,data_tree/103_010824_reliability/408.zip,false,true
103_010824_reliability,550,data_tree/103_010824_reliability/550.zip,false,true
103_010824_reliability,8,data_tree/103_010824_reliability/8.zip,false,true
e20130903_105737_009228_reliability,10,data_tree/e20130903_105737_009228_reliability/10.zip,false,true
e20130903_105737_009228_reliability,11,data_tree/e20130903_105737_009228_reliability/11.zip,false,true
e20130903_105737_009228_reliability,12,data_tree/e20130903_105737_009228_reliability/12.zip,false,true
e20130903_105737_009228_reliability,15,data_tree/e20130903_105737_009228_reliability/15.zip,false,true
e20130903_105737_009228_reliability,17,data_tree/e20130903_105737_009228_reliability/17.zip,false,true
e20130903_105737_009228_reliability,2,data_tree/e20130903_105737_009228_reliability/2.zip,false,true
e20130903_105737_009228_reliability,20,data_tree/e20130903_105737_009228_reliability/20.zip,false,true
e20130903_105737_009228_reliability,30,data_tree/e20130903_105737_009228_reliability/30.zip,false,true
e20130903_105737_009228_reliability,33,data_tree/e20130903_105737_009228_reliability/33.zip,false,true
e20130903_105737_009228_reliability,5,data_tree/e20130903_105737_009228_reliability/5.zip,false,true
e20150511_120645_009236_reliability,2,data_tree/e20150511_120645_009236_reliability/2.zip,false,true
e20150511_120645_009236_reliability,20,data_tree/e20150511_120645_009236_reliability/20.zip,false,true
e20150511_120645_009236_reliability,23,data_tree/e20150511_120645_009236_reliability/23.zip,false,true
e20150511_120645_009236_reliability,25,data_tree/e20150511_120645_009236_reliability/25.zip,false,true
e20150511_120645_009236_reliability,29,data_tree/e20150511_120645_009236_reliability/29.zip,false,true
e20150511_120645_009236_reliability,3,data_tree/e20150511_120645_009236_reliability/3.zip,false,true
e20150511_120645_009236_reliability,4,data_tree/e20150511_120645_009236_reliability/4.zip,false,true
e20150511_120645_009236_reliability,48,data_tree/e20150511_120645_009236_reliability/48.zip,false,true
e20150511_120645_009236_reliability,5,data_tree/e20150511_120645_009236_reliability/5.zip,false,true
e20150511_120645_009236_reliability,6,data_tree/e20150511_120645_009236_reliability/6.zip,false,true
